"","grade","age","female","race","empathy_1","empathy_2","empathy_3","empathy_4","empathy_5","empathy_6","empathy_7","empathy_8","empathy_9","empathy_10","empathy_11","schid"
"250",9,15,1,"Black",1,2,3,1,2,2,3,3,3,2,3,2
"251",9,14,0,"Black",2,1,1,2,1,1,2,1,1,2,2,2
"252",9,14,0,"Black",2,2,2,3,2,3,3,2,2,2,3,2
"253",9,14,1,"Black",2,2,3,2,1,2,2,3,3,3,1,2
"254",9,14,1,"Black",2,2,1,1,1,1,2,2,1,2,1,2
"255",9,14,1,"Black",2,2,2,2,1,1,3,3,2,3,3,2
"256",9,15,1,"Black",3,2,2,2,2,2,3,2,1,3,2,2
"257",9,15,1,"Black",2,1,2,1,2,1,3,2,1,2,1,2
"258",9,14,0,"Black",2,3,3,2,1,1,3,1,3,3,2,2
"259",9,15,1,"Black",2,1,2,1,1,2,3,2,1,1,2,2
"260",9,15,0,"White",2,1,2,3,1,1,1,1,2,1,1,2
"261",9,15,1,"Black",3,1,2,3,2,1,2,2,2,3,1,2
"262",9,14,1,"Black",2,2,2,3,1,2,3,1,1,2,2,2
"263",9,16,0,"Black",1,1,2,1,1,1,1,1,2,1,1,2
"264",10,16,0,"Black",2,3,3,3,2,2,2,3,2,3,2,2
"265",9,15,1,"White",2,2,3,3,2,2,3,3,3,1,2,2
"266",9,16,0,"Black",1,1,1,1,1,1,1,1,3,2,2,2
"267",9,16,1,"Black",2,2,2,2,1,2,2,1,2,1,3,2
"268",9,14,0,"White",2,2,2,1,1,2,1,1,2,2,2,2
"269",9,15,0,"Black",1,1,2,2,1,2,1,1,1,2,2,2
"270",9,15,0,"Black",1,1,2,1,2,2,2,2,1,3,3,2
"271",9,15,1,"Black",2,1,3,3,2,3,3,3,3,2,1,2
"272",9,15,0,"Black",2,1,3,2,3,1,2,2,3,1,2,2
"273",9,15,0,"Black",2,3,3,2,2,2,3,2,3,3,3,2
"274",9,15,0,"Other",1,1,1,1,2,2,2,2,1,1,2,2
"275",9,14,1,"Black",1,2,3,2,1,2,3,2,2,3,2,2
"276",9,15,0,"Black",1,1,1,2,1,2,2,2,1,2,2,2
"277",9,15,1,"White",1,2,2,3,2,1,3,3,3,1,3,2
"278",9,14,0,"Black",3,1,1,1,3,3,3,1,2,3,3,2
"279",9,16,0,"White",1,2,1,3,1,1,3,2,1,2,3,2
"280",9,15,1,"Black",1,3,2,1,1,2,2,1,2,2,2,2
"281",9,NA,1,"Black",2,1,2,2,1,2,1,2,3,3,1,2
"282",11,16,1,"Black",3,3,3,3,2,3,3,3,3,3,2,2
"283",11,17,1,"Black",1,2,3,3,1,2,3,1,2,2,2,2
"284",11,16,0,"Black",1,2,3,3,2,3,3,1,3,2,1,2
"285",11,16,0,"Black",2,2,2,2,2,2,3,2,3,3,2,2
