SCHOOL,INTEG,PER_FSM,BRIT_W,DIFF_BRIT_W
John F Kennedy Special School,32.9665592,41.7,4.7,1.1542582
Brampton Primary School,32.1028978,16.2,7.7,1.8457418
New Directions,102.0416346,32.5,45,39.1457418
Ranelagh Primary School,54.4325218,21,5,0.8542582
Brampton Manor Academy,15.6200516,52.5,6.9,1.0457418
Chobham Academy,25.5113336,17,5.7,0.1542582
Gallions Primary School,51.7603884,12.7,11.5,5.6457418
Kingsford Community School,41.952928,23.1,7.3,1.4457418
St Michael's Catholic Primary School,78.271557,6.5,5.1,0.7542582
London Academy of Excellence,43.8201684,16,3.8,2.0542582
Education Links,110.5962192,29.4,11.8,5.9457418
Upton Cross Primary School,56.4130104,7.6,0.8,5.0542582
East London Science School,59.0680582,29.7,19.8,13.9457418
Woodgrange Infant School,49.2077464,13.2,15.2,9.3457418
Colegrave Primary School,44.9364838,39.9,4.3,1.5542582
Southern Road Primary School,36.8901938,13.2,1.3,4.5542582
Scott Wilkie Primary School,58.1901172,37.7,15.4,9.5457418
Curwen Primary and Nursery School,36.776212,15.6,6.4,0.5457418
The Cumberland School,45.2877916,34.7,19.4,13.5457418
Plaistow Primary School,27.9470034,16.2,2.5,3.3542582
St Edward's Catholic Primary School,80.2284954,6.7,0.6,5.2542582
St Luke's Primary School,123.1116882,14.7,1.7,4.1542582
Tollgate Primary School,36.1846154,35.2,10.7,4.8457418
Sarah Bonnell School,33.7296724,23.3,2.5,3.3542582
St Angela's Ursuline School,75.0036192,21.5,3.4,2.4542582
Nelson Primary School,44.151469,11.1,2.1,3.7542582
Britannia Village Primary School,69.1622102,18.3,10.3,4.4457418
St Winefride's RC Primary School,96.7984522,12,0,5.8542582
Sir John Heron Primary School,58.755685,8.1,0.8,5.0542582
Park Primary School,40.0710734,13.7,8.1,2.2457418
Roman Road Primary School,38.7747854,10.3,8.2,2.3457418
Stratford School,54.1925114,20.5,1.9,3.9542582
Vicarage Primary School,19.9512556,15.5,4.2,1.6542582
St Helen's Catholic Primary School,94.7868726,11,5.3,0.5542582
St Joachim's RC Primary School,101.3364152,12.7,3.4,2.4542582
St Stephen's Primary School,84.036524,14.5,0.8,5.0542582
Eleanor Smith School,124.1198338,75,43.8,37.9457418
Selwyn Primary School,46.072484,12.8,2.8,3.0542582
Odessa Infant School,37.7549676,19.3,3.9,1.9542582
Hallsville Primary School,60.7055056,18.5,19.1,13.2457418
Avenue Primary School,48.9160694,11,0.7,5.1542582
Kensington Primary School,75.5650558,8.4,0.3,5.5542582
Kaizen Primary School,61.3292812,17.2,10.6,4.7457418
Maryland Primary School,55.7642698,16.2,3.5,2.3542582
Dersingham Primary School,29.9104228,12.4,3.8,2.0542582
Gainsborough Primary School,40.0249566,20,9,3.1457418
Elmhurst Primary School,90.8925114,10.4,0.4,5.4542582
Central Park Primary School,50.0576236,9,1.8,4.0542582
St Francis' Catholic Primary School,98.4153238,7.7,2.1,3.7542582
Sandringham Primary School,76.9441458,11,0.6,5.2542582
Ravenscroft Primary School,53.662831,21.9,23.7,17.8457418
Lathom Junior School,79.5650558,61,0.4,5.4542582
Calverton Primary School,91.0108458,15.8,15,9.1457418
Hartley Primary School,71.9023416,11,0.6,5.2542582
Oasis Academy Silvertown,97.5723146,22.9,22.2,16.3457418
The Royal Docks Community School,62.7965862,32,21.3,15.4457418
Monega Primary School,72.9023176,13.7,0.4,5.4542582
Portway Primary School,35.2085406,19,5.9,0.0457418
St Bonaventure's RC School,77.3959854,20.3,3.9,1.9542582
West Ham Church Primary School,48.586526,14.3,3.3,2.5542582
Ellen Wilkinson Primary School,67.1441536,14.2,11.4,5.5457418
School 21,51.280456,22.6,5.1,0.7542582
Little Ilford School,49.2224296,15.7,2.6,3.2542582
Plashet School,84.9763492,15.9,0.1,5.7542582
St James' CofE Junior School,38.3370844,19.4,1.5,4.3542582
William Davies Primary School,68.805167,9,0.6,5.2542582
Sheringham Primary School,38.2514732,20.5,3.3,2.5542582
Winsor Primary School,71.5628672,14.8,11.5,5.6457418
Salisbury Primary School,26.6811818,14.6,2.4,3.4542582
St Antony's RC Primary School,92.1174114,8.2,2.8,3.0542582
Drew Primary School,77.7843414,23,11.4,5.5457418
Godwin Junior School,38.3645236,14.2,14.2,8.3457418
Earlham Primary School,43.1688122,16.3,3.9,1.9542582
Manor Primary School,40.5913384,16.1,5.7,0.1542582
Lister Community School,28.8925114,22.5,2.5,3.3542582
North Beckton Primary School,54.6604004,11.9,10.2,4.3457418
Rokeby School,30.13465,47.2,2.8,3.0542582
Cleves Primary School,33.7017934,25.8,4.8,1.0542582
Shaftesbury Primary School,64.1925114,8.9,0.4,5.4542582
Keir Hardie Primary School,60.0262382,19.1,9.2,3.3457418
Essex Primary School,62.4674298,12.5,2,3.8542582
Star Primary School,58.396973,17.3,11.3,5.4457418
The New Rush Hall School,108.3102968,59,34.4,19.7088654
Redbridge Tuition Service,117.6338868,50,37.5,22.8088654
Little Heath School,35.9080394,28.4,16.7,2.0088654
Farnham Green Primary School,36.9362274,17.2,1.8,12.8911346
Aldersbrook Primary School,63.9914278,9.5,32.3,17.6088654
The Ursuline Academy Ilford,50.740347,14.9,10.1,4.5911346
Oaks Park High School,21.701161,17.8,11.5,3.1911346
Mayfield School,41.6100744,27.3,4,10.6911346
Wells Primary School,89.1579406,6.1,49.4,34.7088654
Cranbrook Primary School,50.911254,12.2,1.7,12.9911346
The John Barker Centre,118.7148886,66.7,33.3,18.6088654
Beal High School,46.1702016,9.6,4.1,10.5911346
Aldborough Primary School,43.9633856,15.8,2.1,12.5911346
William Torbitt Primary School,40.8434658,10.5,4.2,10.4911346
Wanstead Church School,118.7934876,3.2,66.1,51.4088654
Parkhill Infants' School,54.0091608,3.7,3.3,11.3911346
Chadwell Heath Academy,30.208957,17.3,8.1,6.5911346
Downshall Primary School,53.135568,13.7,2,12.6911346
SS Peter and Paul's Catholic Primary School,66.7830118,16.4,4.5,10.1911346
Wohl Ilford Jewish Primary School,124.288669,9.2,76.3,61.6088654
Coppice Primary School,75.8064332,24.2,32.3,17.6088654
Seven Kings School,50.435568,15.3,1.8,12.8911346
Newbury Park Primary School,58.8814994,12.7,2.1,12.5911346
St Augustine's Catholic Primary School,79.7177432,10.9,16.3,1.6088654
Churchfields Junior School,73.3640346,9.4,39.2,24.5088654
Newbridge School,38.6816344,29.2,6.5,8.1911346
Parkhill Junior School,55.497988,9.3,4.8,9.8911346
Roding Primary School,80.8423444,16.3,40.2,25.5088654
Hatton School and Special Needs Centre,29.8657386,33,10.7,3.9911346
Gilbert Colvin Primary School,38.5703244,14,10.6,4.0911346
Caterham High School,31.5002394,19.9,22.5,7.8088654
Forest Academy,43.6974242,26.7,23.8,9.1088654
Mayespark Primary School,40.7312132,21,2.9,11.7911346
Redbridge Primary School,62.768302,5.2,0.4,14.2911346
Woodbridge High School,69.380746,16.1,37.9,23.2088654
Valentines High School,42.1186942,17.4,3.8,10.8911346
Barley Lane Primary School,44.986682,10.1,2.4,12.2911346
Highlands Primary School,62.8707552,8.8,2.4,12.2911346
Uphall Primary School,60.1925452,19.9,1,13.6911346
Winston Way Primary School,55.065745,20.3,1.2,13.4911346
Avanti Court Primary School,122.5730396,3.3,0.3,14.3911346
Cleveland Road Primary School,61.1707552,19,1.1,13.5911346
Ark Isaac Newton Academy,48.7538814,18.6,2.7,11.9911346
John Bramston Primary School,55.9186548,17.2,24.9,10.2088654
South Park Primary School,58.3329444,16.5,1,13.6911346
Mossford Green Primary School,41.56138,18.8,9.9,4.7911346
Gearies Primary School,56.837896,7,0.9,13.7911346
Nightingale Primary School,51.9322514,5.6,29.7,15.0088654
Christchurch Primary School,61.2897926,11.5,1.1,13.5911346
The Constance Bridgeman Centre,69.24058,35,15,0.3088654
Manford Primary School,62.025635,18.5,26.3,11.6088654
Our Lady of Lourdes RC Primary School,106.231469,5.6,47.5,32.8088654
Clore Tikva School,127.367603,5.3,78.3,63.6088654
Snaresbrook Primary School,49.9640992,10.5,20.4,5.7088654
St Aidan's Catholic Primary School,53.4034204,11.9,8.4,6.2911346
Ray Lodge Primary School,77.928319,21.8,10.9,3.7911346
Oakdale Infants' School,75.7883798,4.2,26.6,11.9088654
Wanstead High School,48.5402472,12.7,31.9,17.2088654
The Palmer Catholic Academy,50.822227,18.5,11.1,3.5911346
Oakdale Junior School,70.131469,11.2,30.4,15.7088654
Churchfields Infants' School,76.7391652,2.9,33.6,18.9088654
Loxford School,59.3277324,27.9,1.4,13.2911346
Trinity Catholic High School,101.9179348,7.6,56,41.3088654
King Solomon High School,63.4202588,17.9,37.5,22.8088654
St Bede's Catholic Primary School,84.992803,7.4,23.5,8.8088654
Fullwood Primary School,32.3180992,9.2,7.9,6.7911346
Woodlands Primary School,49.895589,22.9,1.8,12.8911346
Chadwell Primary School,36.8120716,19.6,5.1,9.5911346
Woodford County High School,66.31869,3.5,3.8,10.8911346
Goodmayes Primary School,42.493596,16.5,6.6,8.0911346
St Antony's Catholic Primary School,115.209446,2.2,63.1,48.4088654
Fairlop Primary School,46.401781,16.2,22.8,8.1088654
Ilford County High School,70.7405156,4.7,2,12.6911346
Gordon Infants' School,44.8697398,8.9,2.6,12.0911346
Beal Business Innovation Hub,47.4886086,10,10,4.6911346
Glade Primary School,25.3270102,16,11,3.6911346
Grove Primary School,37.9670474,20.4,8.6,6.0911346
Turing House School,33.8481874,4,73,12.9874535
Marshgate Primary School,37.4595602,3.8,45.3,14.7125465
St Richard's Church of England Primary School,32.9778732,20.6,51.7,8.3125465
Nelson Primary School,43.7843574,11,45.3,14.7125465
St John the Baptist Church of England Junior School,23.6167808,9.7,66.5,6.4874535
Christ's Church of England Comprehensive Secondary School,24.4186,12.9,50.5,9.5125465
St Richard Reynolds Catholic High School,22.461769,7.5,60.8,0.7874535
St Mary Magdalen's Catholic Primary School,35.2811804,5.3,54.2,5.8125465
Heathfield Junior School,59.4546576,20.4,35.7,24.3125465
Sheen Mount Primary School,21.5334366,2,65.9,5.8874535
Waldegrave School,20.277654,5.3,66.5,6.4874535
Deer Park School,98.6064434,0,0,60.0125465
St Mary's Hampton Church of England Primary,24.2537034,8.1,57.1,2.9125465
Carlisle Infant School,36.811126,7.4,72.9,12.8874535
Teddington School,25.075848,6.2,70.4,10.3874535
St Elizabeth's Catholic Primary School,82.7754716,1.7,28.6,31.4125465
Collis Primary School,33.4066586,3.9,71.5,11.4874535
Darell Primary and Nursery School,48.153802,14.6,39.6,20.4125465
Twickenham Primary Academy,98.6064434,6.4,0,60.0125465
Chase Bridge Primary School,32.5079132,6.9,50.8,9.2125465
Buckingham Primary School,19.4237442,12.1,55.8,4.2125465
Holy Trinity Church of England Primary School,23.5509612,7,54.5,5.5125465
Archdeacon Cambridge's Church of England Primary School,39.1353004,1.4,79.9,19.8874535
St Richard Reynolds Catholic Primary School,28.6276516,3.3,68.3,8.2874535
Richmond Park Academy,45.9450732,17.1,40.4,19.6125465
Thomson House School,24.4782722,3.2,61.9,1.8874535
Twickenham Academy,15.6524486,14.1,63,2.9874535
The Vineyard School,42.7749296,3,47.2,12.8125465
St Mary's and St Peter's Church of England Primary School,42.5651566,4,79.1,19.0874535
Heathfield Infant School,52.7757808,13.6,37.7,22.3125465
Bishop Perrin Church of England Primary School,48.1105972,5.7,46.9,13.1125465
The Queen's Church of England Primary School,22.7613704,1.7,57.2,2.8125465
Lowther Primary School,64.8426178,15.8,32.3,27.7125465
Meadlands Primary School,24.5390418,9.8,68,7.9874535
Kew Riverside Primary School,44.3304028,11.9,43.3,16.7125465
Trafalgar Infant School,23.4566832,10.1,61.8,1.7874535
Hampton Hill Junior School,25.4154636,8.9,66.2,6.1874535
Hampton Wick Infant and Nursery School,14.3915086,12.4,56.1,3.9125465
Strathmore School,56.4883588,24.6,36.8,23.2125465
St Stephen's Church of England Primary School,19.05805,3.4,65.2,5.1874535
Orleans Primary School,18.3018506,3,62.7,2.6874535
Grey Court School,14.9671416,7.9,63.6,3.5874535
St Osmund's Catholic Primary School,44.3307658,4.4,45.3,14.7125465
Clarendon School,28.2831698,40,54.8,5.2125465
Orleans Park School,13.6632702,8,65.7,5.6874535
Hampton Infant School and Nursery,21.9254828,6.9,67,6.9874535
Hampton Academy,12.8639152,16.1,60.5,0.4874535
Sacred Heart Roman Catholic Primary School,23.983452,4.7,56.2,3.8125465
Hampton Junior School,30.2350942,9.4,73.4,13.3874535
Stanley  Primary School,25.630703,8.5,71.6,11.5874535
The Russell Primary School,32.4624816,5.8,54.7,5.3125465
St Mary's Church of England Primary School,21.4358158,3.5,66.4,6.3874535
St Edmund's Catholic Primary School,17.0177354,5.3,64.1,4.0874535
Barnes Primary School,17.3375948,4.9,64.9,4.8874535
Trafalgar Junior School,19.587122,6.8,58.6,1.4125465
East Sheen Primary School,18.34031,10.5,63.6,3.5874535
St James's Roman Catholic Primary School,27.5177354,1.2,65.3,5.2874535
St Paul's Church of England Primary School Walworth,44.9014709,27.7,11.9,8.5290325
The Belham Primary School,89.1996175,3.3,23.3,2.8709675
Crampton School,30.9226257,21.8,23.2,2.7709675
Peter Hills with St Mary's and St Paul's CofE Primary School,79.0713673,10.6,51.6,31.1709675
Goodrich Community Primary School,63.9920021,16.1,43.7,23.2709675
Dulwich Hamlet Junior School,104.7811963,10.8,65.6,45.1709675
Sacred Heart Catholic School,63.4120199,16.7,3.4,17.0290325
St Anthony's Catholic Primary School,62.2889687,4.1,36.1,15.6709675
Phoenix Primary School,25.6532979,17.5,21.2,0.7709675
Ilderton Primary School,34.0219027,21.2,9.9,10.5290325
Comber Grove School,49.1025935,19,5.3,15.1290325
Ark Globe Academy,40.5691449,51.3,6.2,14.2290325
Dog Kennel Hill School,29.2968951,12.8,29.7,9.2709675
Crawford Primary School,49.6575623,23,5.3,15.1290325
Brunswick Park Primary School,34.4111371,28.1,12,8.4290325
The Charter School,69.7259763,10.8,52.7,32.2709675
Victory School,43.3440829,17.9,6.7,13.7290325
Newlands Academy,95.9885601,9.1,15.2,5.2290325
Harris Primary Free School Peckham,52.8073897,47.8,2.9,17.5290325
Dulwich Wood Primary School,28.3177983,25.2,14.3,6.1290325
Saint Joseph's Catholic Primary School the Borough,57.6003371,10.7,9,11.4290325
Charlotte Sharman Primary School,58.5949899,12.7,17.6,2.8290325
St Mary Magdalene Church of England Primary School,75.7458825,19.7,5.8,14.6290325
Robert Browning Primary School,39.4903425,26.8,6.9,13.5290325
Kingsdale Foundation School,65.4584451,8.8,40.6,20.1709675
St Michael's Catholic College,45.6967325,15.8,23.4,2.9709675
Harris Girls' Academy East Dulwich,37.4236509,38.1,11.4,9.0290325
Heber Primary School,69.9582423,10.5,47,26.5709675
St John's Walworth Church of England Primary School,62.2159331,18.1,9.1,11.3290325
John Ruskin Primary School and Language Classes,39.5852553,19.8,8.3,12.1290325
St Francesca Cabrini Primary School,36.4146879,9.5,8.7,11.7290325
St Jude's Church of England Primary School,65.5502585,11.6,6.9,13.5290325
Cobourg Primary School,35.3786683,22,11.5,8.9290325
Judith Kerr Primary School,97.9439831,10.9,31.4,10.9709675
English Martyrs Roman Catholic Primary School,101.8024507,17.6,3.1,17.3290325
City of London Academy (Southwark),19.7812503,35.8,26.2,5.7709675
Riverside Primary School,63.8599333,30.9,37.9,17.4709675
St George's Church of England Primary School,81.4950355,13.9,0,20.4290325
St Saviour's and St Olave's Church of England School,52.4550457,14.9,9.1,11.3290325
St John's Roman Catholic Primary School,62.6542747,20.9,41.3,20.8709675
Highshore School,30.4386157,55.7,23,2.5709675
Ark All Saints Academy,35.3440429,40.7,15.5,4.9290325
Ivydale Primary School,80.3075953,12,50.6,30.1709675
Goose Green Primary School,32.1028165,7.9,18.8,1.6290325
Dulwich Village Church of England Infants' School,106.2112001,2.3,64.9,44.4709675
Notre Dame Roman Catholic Girls' School,59.1779401,22.1,3.5,16.9290325
The St Thomas the Apostle College,64.7639493,20.3,3.1,17.3290325
Michael Faraday School,38.3623011,25.1,12.9,7.5290325
Harris Primary Academy East Dulwich,106.1149105,12.3,51.3,30.8709675
Hollydale Primary School,40.1830559,19.4,15.2,5.2290325
Surrey Square Primary School,39.6402781,18.8,11.5,8.9290325
St Joseph's Roman Catholic Primary School,35.1690283,11.7,22.8,2.3709675
Bessemer Grange Primary School,42.1058415,8.8,34.8,14.3709675
St Joseph's Catholic Primary School,51.4485591,14.3,13,7.4290325
Alfred Salter Primary School,74.0627667,11.3,29.7,9.2709675
Harris Academy Peckham,33.6825701,53.9,7.4,13.0290325
Oliver Goldsmith Primary School,39.6758263,20.3,5.9,14.5290325
Lyndhurst Primary School,42.6922593,10.4,32.4,11.9709675
St James the Great Roman Catholic Primary School,87.9100119,20,0.6,19.8290325
St Francis RC Primary School,87.7822731,12.2,3.2,17.2290325
Grange Primary School,52.8060585,28.9,12.5,7.9290325
The Cathedral School of St Saviour and St Mary Overy,55.8063099,11.6,40.1,19.6709675
Charles Dickens Primary School,30.8586507,18.4,22.3,1.8709675
Southwark Free School,62.8516069,33.3,13.5,6.9290325
John Donne Primary School,44.1720813,25.9,9.9,10.5290325
Haymerle School,70.4225171,36,5.9,14.5290325
Keyworth Primary School,35.7759889,23.2,13,7.4290325
St Joseph's Catholic Infants School,77.4466567,25.3,0,20.4290325
Friars Primary Foundation School,42.8319433,13.4,15.6,4.8290325
Tuke School,48.3139707,50.7,10.4,10.0290325
Tower Bridge Primary School,34.7154733,24.2,17.4,3.0290325
Southwark Park School,56.0961753,13.4,46.4,25.9709675
Townsend Primary School,39.6068783,32.3,8.6,11.8290325
St Johns' and St Clements Church of England Primary School,62.8260817,7.3,46.9,26.4709675
Harris Primary Academy Peckham Park,53.9485017,33.5,4.2,16.2290325
Harris Academy Bermondsey,27.8756291,46.1,16.1,4.3290325
Bacon's College,22.1370875,41,26,5.5709675
Bellenden Primary School,49.3702905,17.2,6,14.4290325
Albion Primary School,38.2218001,25.4,27.8,7.3709675
Boutcher Church of England Primary School,31.9037249,15.3,31.8,11.3709675
Cherry Garden School,57.3264845,54.3,11.9,8.5290325
St Joseph's Catholic Junior School,79.0395557,16.5,1.7,18.7290325
Harris Boys' Academy East Dulwich,32.1434745,19.4,17.4,3.0290325
Ark Walworth Academy,23.0772745,33.2,14.4,6.0290325
University Academy of Engineering South Bank,27.8551459,34.1,14.4,6.0290325
Compass School Southwark,65.7073953,36.9,48.1,27.6709675
Spa School,29.5348851,44.9,20.4,0.0290325
Snowsfields Primary School,26.0120685,19.9,17.4,3.0290325
St James' Church of England Primary School,26.8675057,30.3,27.2,6.7709675
Camelot Primary School,65.3483533,28.2,4.1,16.3290325
St George's Cathedral Catholic Primary School,103.8592791,14.4,1.5,18.9290325
Angel Oak Academy,61.7234425,42.6,4.7,15.7290325
Pilgrims' Way Primary School,30.2759891,32.7,12.4,8.0290325
Beormund Primary School,46.2366763,50,25,4.5709675
Southwark Inclusive Learning Service (Sils),50.9649777,26.9,28.8,8.3709675
Rye Oak Primary School,43.6415207,32.4,12.4,8.0290325
Redriff Primary School,54.1656517,27.4,33.1,12.6709675
St Peter's Church of England Primary School,59.1500557,18.3,11.2,9.2290325
Rotherhithe Primary School,30.3374447,31.1,24.3,3.8709675
Beddington Park Primary School,24.3803752,15.9,53.4,1.4622069
Cheam Fields Primary School,36.4124412,11.3,69.6,17.6622069
Nonsuch Primary School,43.7443838,2.7,70.6,18.6622069
Cheam Park Farm Infants School,30.2959022,4.2,57.4,5.4622069
The Limes College,58.7974574,85,77,25.0622069
Abbey Primary School,36.8113798,12.6,46.3,5.6377931
Wallington High School for Girls,71.0732904,2.6,23.5,28.4377931
High View Primary School,23.323377,8.3,48.9,3.0377931
Avenue Primary Academy,34.3020982,7.9,38,13.9377931
Stanley Park High School,46.3518884,18.3,73.3,21.3622069
Sutton Tuition and Reintegration Service,70.5670204,41.2,85.3,33.3622069
Foresters Primary School,38.4873612,36.5,65.1,13.1622069
Green Wrythe Primary School,37.4330288,30.8,63.8,11.8622069
Cheam Common Infants' School,26.9125648,3.9,43.6,8.3377931
Harris Junior Academy Carshalton,44.5001234,10.8,72.9,20.9622069
Cheam Park Farm Junior School,28.8835348,4.1,59.7,7.7622069
Westbourne Primary School,24.2452974,10.5,43.3,8.6377931
St Elphege's RC Junior School,71.8925944,12.6,25.3,26.6377931
Glenthorne High School,39.841175,10.8,70.4,18.4622069
Nonsuch High School for Girls,70.8921252,1,26,25.9377931
All Saints Benhilton CofE Primary School,27.6798074,4.8,51.6,0.3377931
Wilson's School,64.8938532,1.5,26.2,25.7377931
Bandon Hill Primary School,15.9340904,8,55.6,3.6622069
Rushy Meadow Primary School,37.974821,19.8,67.9,15.9622069
Victor Seymour Infants' School,49.5654654,12.5,74.7,22.7622069
St Mary's RC Junior School,31.4169834,3.1,56.1,4.1622069
Link Primary School,51.9519872,19,57.5,5.5622069
Robin Hood Infants' School,40.5096272,8.9,38.9,13.0377931
Robin Hood Junior School,37.8654406,11.3,43.1,8.8377931
Barrow Hedges Primary School,29.602123,3.2,62.3,10.3622069
St Mary's RC Infants School,33.596322,0.9,53.3,1.3622069
St Elphege's RC Infants' School,65.4626018,6.5,32.2,19.7377931
Greenshaw High School,15.5508514,12.5,53.6,1.6622069
St Philomena's School,32.0624292,7.1,46,5.9377931
Carew Academy,39.034189,42.1,59.9,7.9622069
Amy Johnson Primary School,26.0607258,32.4,49.8,2.1377931
Sherwood Park School,24.2945446,32.9,52.6,0.6622069
Wandle Valley School,75.5940756,65.5,80,28.0622069
Cheam Common Junior School,18.8009628,8,53.9,1.9622069
Dorchester Primary School,24.0293754,9.5,52.2,0.2622069
Sutton Grammar School,37.4670204,1.8,42.8,9.1377931
Beddington Infants' School,35.7557888,3.1,59.2,7.2622069
All Saints Carshalton Church of England Primary School,42.1942484,2.3,67.3,15.3622069
Stanley Park Junior School,32.7206122,9.5,66.4,14.4622069
Stanley Park Infants' School,37.908936,5.9,66.1,14.1622069
Hackbridge Primary School,18.902345,17.1,51.7,0.2377931
Muschamp Primary School and Language Opportunity Base,21.2176006,26.5,51.4,0.5377931
Culvers House Primary School,28.5087388,24.3,57.8,5.8622069
Brookfield Primary School,23.6971118,11.3,54.6,2.6622069
Carshalton Boys Sports College,41.4922982,15.4,69.5,17.5622069
Cheam High School,37.9972104,6.3,70.3,18.3622069
Tweeddale Primary School,20.758899,25.8,52.3,0.3622069
The John Fisher School,30.403777,4.2,53.3,1.3622069
Carshalton High School for Girls,32.830659,9.8,43.3,8.6377931
Holy Trinity CofE Junior School,21.1115776,9.5,58.8,6.8622069
St Cecilia's Catholic Primary School,21.8821526,3.5,51.9,0.0377931
Overton Grange School,26.463046,11.1,60.2,8.2622069
Link Secondary School,54.6384596,14.9,63.8,11.8622069
Devonshire Primary School,41.7079734,18.5,35.6,16.3377931
Manor Park Primary School,49.9027152,16.2,37.5,14.4377931
Wallington County Grammar School,68.3910146,1.9,23.3,28.6377931
St Dunstan's Cheam CofE Primary School,42.3062206,2.5,73,21.0622069
Langdon Park Community School,17.7850797,55.7,9.5,0.3466881
Bowden House School,158.0999407,78.1,65.6,56.4466881
St Paul with St Luke CofE Primary School,15.0736453,32.8,9.7,0.5466881
Oaklands School,47.9077561,37.8,2.7,6.4533119
Columbia Primary School,49.0005729,28.4,24.3,15.1466881
Lawdale Junior School,35.1409805,46.1,2.8,6.3533119
Woolmore Primary School,36.0097019,38.7,1.7,7.4533119
St Anne's Catholic Primary School,120.0946627,46.5,32.2,23.0466881
Stepney Green Mathematics and Computing College,64.4373943,39.5,0,9.1533119
St Agnes RC Primary School,132.6268979,32.5,29.8,20.6466881
Cayley Primary School,41.1734915,31.7,1.5,7.6533119
Mulberry School for Girls,56.9834905,45,0.3,8.8533119
Cubitt Town Junior School,31.0412157,39.9,14.4,5.2466881
Canary Wharf College,115.4125691,5.4,9,0.1533119
Cyril Jackson Primary School,19.9029673,31.9,6.8,2.3533119
Bishop Challoner Catholic Federations of Girls School,109.9543443,18.5,19.6,10.4466881
Raine's Foundation School,115.7670703,45.7,36.5,27.3466881
St Saviour's Church of England Primary School,120.4508067,30.8,52.5,43.3466881
Thomas Buxton Primary School,38.2518067,35.3,1.5,7.6533119
Seven Mills Primary School,12.4175257,32.4,8.9,0.2533119
Sir William Burrough Primary School,24.4997677,31.9,10,0.8466881
Mayflower Primary School,49.5834905,41.4,0,9.1533119
Mowlem Primary School,40.1436101,29.8,5.2,3.9533119
Wapping High School,68.8229387,37.2,25.1,15.9466881
Olga Primary School,41.7649137,43,23,13.8466881
Swanlea School,35.7200903,52.3,1.4,7.7533119
Tower Hamlets PRU,58.8404373,36.7,25,15.8466881
Bigland Green Primary School,50.6810719,22.4,0,9.1533119
Bygrove Primary School,29.7281895,38.8,3.9,5.2533119
William Davis Primary School,21.4826285,51.7,3.7,5.4533119
Malmesbury Primary School,11.4143585,27.8,10.2,1.0466881
Guardian Angels Roman Catholic Primary School,125.7432911,45.1,26.1,16.9466881
Marion Richardson Primary School,33.5482853,34.9,2.5,6.6533119
Phoenix School,21.8347079,50.5,7.6,1.5533119
St John's Church of England Primary School,79.6151637,37,30.1,20.9466881
St Mary and St Michael Primary School,118.6004405,49.9,25.2,16.0466881
St Matthias Church of England Primary School,43.4149041,26.2,15.2,6.0466881
St Paul's Whitechapel Church of England Primary School,31.8262357,24.8,6.6,2.5533119
Virginia Primary School,24.7807449,26.3,3.4,5.7533119
Bonner Primary School,31.2320273,36.1,13.2,4.0466881
Bethnal Green Academy,33.0381807,50,5.7,3.4533119
Blue Gate Fields Junior School,51.6834905,48.5,0,9.1533119
Chisenhale Primary School,69.0037863,21.5,35.1,25.9466881
St Edmund's Catholic School,130.3096289,12.8,26.9,17.7466881
Culloden Primary - A Paradigm Academy,21.2695457,33.9,3.6,5.5533119
St Luke's Church of England Primary School,90.4685649,33.6,32.4,23.2466881
Kobi Nazrul Primary School,63.6271681,17.8,0,9.1533119
George Green's School,24.2736291,31.9,17,7.8466881
Smithy Street School,40.8271681,24.2,2.3,6.8533119
St Peter's London Docks CofE Primary School,85.3990947,38.4,23.3,14.1466881
John Scurr Primary School,42.5240845,36.1,2.6,6.5533119
Christ Church CofE School,28.7981299,38.1,5.2,3.9533119
Bow School,16.8228171,39.7,8.2,0.9533119
English Martyrs Roman Catholic Primary School,128.6819391,13.6,19.6,10.4466881
Marner Primary School,34.4352187,31.8,1.4,7.7533119
Morpeth School,11.4042483,35.3,11.8,2.6466881
Beatrice Tate School,10.7430017,60.3,12.8,3.6466881
St Paul's Way Trust School,39.4753587,52.1,2.1,7.0533119
The Clara Grant Primary School,33.3015053,19.3,2.9,6.2533119
Central Foundation Girls' School,43.7834905,48.3,1.7,7.4533119
Sir John Cass Foundation and Redcoat Church of England Secondary School,27.9016673,38.2,2.8,6.3533119
Our Lady and St Joseph Catholic Primary School,133.0269627,36.2,39.9,30.7466881
Old Palace Primary School,33.9607005,17.6,2.3,6.8533119
Wellington Primary School,19.2558575,28.7,6.8,2.3533119
City Gateway 14-19 Provision,99.1521065,63.3,34.2,25.0466881
Stepney Greencoat Church of England Primary School,64.8408427,24.7,34.1,24.9466881
Cubitt Town Infants' School,37.3543307,31.9,15.8,6.6466881
Osmani Primary School,49.1298625,56.5,0.3,8.8533119
Arnhem Wharf Primary School,20.4490231,47.1,8.5,0.6533119
Halley Primary School,48.0271681,30.8,2.8,6.3533119
Harbinger Primary School,34.3901359,28.9,12.6,3.4466881
St Elizabeth Catholic Primary School,133.9428695,21.5,31,21.8466881
Globe Primary School,44.8413941,29.6,20.7,11.5466881
Stephen Hawking School,24.0134611,42.1,6,3.1533119
Elizabeth Selby Infants' School,33.9568711,34.3,3.9,5.2533119
Canon Barnett Primary School,32.6797719,30.8,2.2,6.9533119
London Enterprise Academy,45.7711375,32.5,1,8.1533119
