SCHOOL,INTEG,PER_FSM,BRIT_W,DIFF_BRIT_W
Avigdor Hirsch Torah Temimah Primary School,149.5117651,0.5,81.7,74.8752167
Kilburn Grange School,93.9313919,63.3,0,6.8247833
St Joseph's Roman Catholic Primary School,66.8713661,14.3,7.8,0.9752167
St Mary Magdalen's Catholic Junior School,58.5904721,13.9,13.9,7.0752167
JFS,93.9313919,1.4,0,6.8247833
Alperton Community School,66.5488249,11.2,1.2,5.6247833
St Gregory's Catholic Science College,37.3061791,11.4,12.6,5.7752167
St Joseph RC Junior School,52.0276711,9.3,4.6,2.2247833
Queens Park Community School,52.6062197,15.1,23.7,16.8752167
Mount Stewart Infant School,72.2329977,2.4,1.7,5.1247833
St Mary's CofE Primary School,86.2414983,19.7,2.1,4.7247833
Parish Church of England Primary School,17.9764251,6,57.1,5.9803685
Coopers School,22.6054835,9.4,74.5,11.4196315
Chislehurst School for Girls,12.2023919,8.2,65.1,2.0196315
Oak Lodge Primary School,15.2950179,2.7,66.9,3.8196315
Bullers Wood School,8.9749315,5.8,65.5,2.4196315
Raglan Primary School,16.3093435,5.2,63.4,0.3196315
Gray's Farm Primary Academy,16.8664813,21.5,65.7,2.6196315
Manor Oak Primary School,42.4487869,26.8,49.4,13.6803685
Harris Aspire Academy,92.9925381,35.6,26,37.0803685
Langley Park School for Girls,9.9601669,3.8,65.7,2.6196315
Highfield Infants' School,28.1069171,2.6,55.6,7.4803685
Castlecombe Primary School,15.9218225,20.2,62,1.0803685
Langley Park School for Boys,16.4472929,2.5,69.2,6.1196315
Ravens Wood School,27.6566251,4.8,76.6,13.5196315
St Philomena's Primary School,52.9095193,8.6,45.6,17.4803685
Scotts Park Primary School,20.6052873,5.9,59.9,3.1803685
Pratts Bottom Primary School,48.4988641,7.6,83.6,20.5196315
Newstead Wood School,65.5446287,1.7,37.8,25.2803685
Red Hill Primary School,18.1452543,12.8,70.3,7.2196315
Glebe School,23.0198695,21.8,69.7,6.6196315
Bickley Primary School,27.5136725,1,70.2,7.1196315
Dorset Road Infant School,27.4955557,13.4,60,3.0803685
Harris Primary Academy Kent House,89.7204581,31.3,21.5,41.5803685
St. Mary Cray Primary Academy,41.3479421,28.5,47.3,15.7803685
Burnt Ash Primary School,31.0603561,16,50.3,12.7803685
Keston Church of England Primary School,35.4371691,5.7,80.8,17.7196315
Harris Primary Academy Crystal Palace,99.1317019,27.7,18.1,44.9803685
St Olave's and St Saviour's Grammar School,66.2543901,0.9,37.5,25.5803685
Hawes Down Junior School,26.8779191,2.7,72.5,9.4196315
St George's Bickley Church of England Primary School,29.8467851,9.6,52.2,10.8803685
St Mary's Catholic Primary School,32.4126247,0.7,55.2,7.8803685
Darrick Wood Junior School,25.6901923,7,68,4.9196315
Darrick Wood School,34.8250065,3.4,80.8,17.7196315
St Mark's Church of England Primary School,46.5669523,4.9,42.2,20.8803685
Worsley Bridge Primary School,40.0641215,15.5,50,13.0803685
St Peter and St Paul Catholic Primary School,17.5176947,12.6,61.5,1.5803685
St Anthony's Roman Catholic Primary School,109.4659227,14,12.7,50.3803685
Oaklands Primary Academy,50.8371321,11.1,86.9,23.8196315
St James' Roman Catholic Primary School,29.5490869,1.8,71.3,8.2196315
Harris Girls Academy Bromley,69.0526401,16.2,30.6,32.4803685
Bishop Justus CofE School,22.1979869,11.2,60.2,2.8803685
Marian Vian Primary School,8.8874839,3.4,62.6,0.4803685
Mottingham Primary School,38.6418489,21.6,50.7,12.3803685
La Fontaine Academy,83.0126177,5.6,35,28.0803685
Alexandra Junior School,24.4125875,9.8,55.7,7.3803685
Pickhurst Infant School,20.8872279,3.3,68.6,5.5196315
Pickhurst Junior School,22.0148593,4.8,72.8,9.7196315
